Entidad;Erakundea;Calle;Código Postal;Población;Geo;Revisión;Teléfono;Web;Otros
Departamento de Medio Ambiente, Planificación Territorial y Vivienda;Ingurumen, Lurralde Plangintza eta Etxebizitza Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:26:21 UTC;"";""
Viceconsejería de Cultura, Juventud y Deportes;Kultura, Gazteria eta Kirol Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-30 11:11:46 UTC;"";""
Associazione Culturale Euskara - Erromako Euskal Etxea;;Via N. Nisco, 24 - Int. 4;00179;Roma;41.8684241, 12.5193637;2011-11-21 12:08:12 UTC;3338140874;http://www.euskara.it
AJEBASK PAÍS VASCO - Federación de Asociaciones de Jóvenes Empresarios del  País Vasco;AJEBASK PAÍS VASCO - Euskadiko Enpresari Gazteen Elkartea;Edificio Azucarera - Avda. de los Huetos, 79 - Planta Baja;01010;Vitoria-Gasteiz;42.838435378168, -2.66372972151894;2014-02-23 13:26:32 UTC;945121929/ 945121930;http://www.ajebaskpaisvasco.es;fax: 945121931
Consulado de México;Mexikoren Kontsulatua;Gran Vía, 40 bis -  5º Dcha.;48009;Bilbao;43.2666043, -2.9338273;2011-09-21 21:07:30 UTC;944238937;http://www.consulmexhonbilbao.net;fax: 944238942
Editorial Iparraguirre, S.A. (Editora de DEIA);Editorial Iparraguirre, S.A. (DEIAren Argitaratzailea);Camino de Capuchinos 6, 5ª C;48013;Bilbao;43.2624421, -2.9507265;2011-09-21 21:07:30 UTC;944599100;"";fax: 944599118
Cope Vitoria-Gasteiz;Cope Vitoria-Gasteiz;San Antonio 2, bajo;01005;Vitoria-Gasteiz;42.8445456102, -2.67441392167;2011-09-21 21:07:31 UTC;945134630;"";fax: 945137577
Ayuntamiento de Galdakao. Desarrollo Local y Empleo - Behargintza;Galdakaoko Udala. Desarrollo Local y Empleo - Behargintza;Zalbidea, 35 - Trasera;48960;Galdakao;43.226982, -2.8277963;2014-02-23 14:07:38 UTC;944010580;http://www.galdakao.net;fax: 944570057
Ayuntamiento de Amoroto;Amorotoko Udala;Elejalde auzoa, 1;48289;Amoroto;43.3586312, -2.5493179;2016-01-27 16:27:39 UTC;946842549;http://www.amoroto.eus;fax: 946243704;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=004&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48004
Ayuntamiento de Basauri;Basauriko Udala;Kareaga Goikoa, 52;48970;Basauri;43.2356947, -2.8914123;2016-01-27 16:47:01 UTC;944666300;http://www.basauri.net;fax: 944666335;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=015&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48015
Ayuntamiento de Getxo;Getxoko Udala;Fueros, 1;48992;Getxo;43.3430401, -3.0076501;2016-01-27 17:17:04 UTC;944660000;http://www.getxo.eus;fax: 944660085;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=044&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48044
Ayuntamiento de Ugao-Miraballes;Ugao-Miraballesko Udala;Herriaren enparantza, z/g.;48490;Ugao Miraballes;43.1792265, -2.9001212;2016-01-27 17:43:10 UTC;946480711;http://www.ugao-miraballes.net;fax: 946481893;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=065&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48065
Ayuntamiento de Urduliz;Urdulizko Udala;Elortza plaza, 1;48610;Urduliz;43.3755446, -2.946939;2016-01-27 17:43:35 UTC;946762061;http://www.urduliz.eu;fax: 946764240;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=089&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48089
Eventokia;Eventokia;Alameda Rekalde, 27 - 2;48009;Bilbao;, ;2016-03-17 08:31:31 UTC;946123007;www.eventokia.com;facebook: https://www.facebook.com/Eventokia-571195842950774/;twitter: http://twitter.com/https://twitter.com/EventokiaEvents;linkedin: https://www.linkedin.com/company/eventokia
Delegación Territorial de Vivienda de Gipuzkoa;Gipuzkoako Etxebizitza Lurralde Ordezkaritza;Andia, 13;20004;Donostia/San Sebastián;43.319748764175, -1.98431529044578;2016-03-17 15:33:19 UTC;012;http://www.etxebide.euskadi.eus
Secretaría General de la Presidencia;Lehendakaritzaren Idazkaritza Nagusia;Navarra, 2;01007;Vitoria-Gasteiz;42.8385890707404, -2.67864021006057;2016-04-01 08:58:56 UTC;945017900;""
Consejo de Graduados Sociales del País Vasco;Euskal Herriko Graduatu Sozialen Kontseilua;Vicente Goikoetxea , 17;01008;Vitoria;, ;2016-06-23 11:01:02 UTC;945147098;www.graduadosocialalava.com
Departamento de Desarrollo Económico e Infraestructuras;Ekonomiaren Garapen eta Azpiegitura Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:18:06 UTC;"";""
Departamento de Trabajo y Justicia;Lan eta Justizia Saila;Donostia-San Sebastian, 1 - LAKUA;01010;Vitoria-Gasteiz;, ;2016-11-28 13:04:02 UTC;"";""
Orquesta de Euskadi, S.A.;Euskadiko Orkestra, S.A.;Paseo de Miramon, 124;20014;Donostia-San Sebastián;43.2945049, -1.9756908;2016-06-21 07:24:49 UTC;943013232;http://www.euskadikoorkestra.eus;fax: 943308324
Social Creatives;Social Creatives;Zuatzu, 2;20018;Donostia - San Sebastián;, ;2016-07-21 08:05:10 UTC;"";http://socialcreatives.es;facebook: https://www.facebook.com/TheSocialCreatives;twitter: http://twitter.com/https://twitter.com/SozialCreatives
Fundación PuntuEUS;PuntuEUS Fundazioa;Arriola pasealekua 2;20018;Donostia;, ;2016-08-24 11:55:23 UTC;943085051;www.domeinuak.eus
El Biscúter;;San Vicente, 5, 5 - 1º izquierda;48001;Bilbao;, ;2016-10-13 10:17:41 UTC;"";""
Bilbao Exhibition Centre;Bilbao Exhibition Centre;Ronda de Azkue, 1;48902;Barakaldo;43.291505, -2.989731;2016-11-02 10:27:42 UTC;944040000;http://www.bilbaoexhibitioncentre.com;fax: 944040001
Colegio Oficial de Arquitectos Vasco-Navarro (Bizkaia);;Alameda Mazarredo, 69 - 1º;48009;Bilbao;, ;2016-11-03 17:43:51 UTC;944244474;www.coavnbiz.org;fax: 944236343
Colegio Oficial de Arquitectos Vasco-Navarro (Navarra);;Avenida del Ejercito, 2 - 7º;31002;Pamplona;, ;2016-11-03 17:51:24 UTC;948206080;www.coavna.com;fax: 948206073
2ados, Comunicación Global y Organización de Eventos S.L.;2ados, Komunikazio Globala eta  Ekitaldien Antolakuntza S.M.;Bulevar de Mariturri, 42 - bajo;01015;Vitoria-Gasteiz;42.8473868806, -2.67903216899;2016-11-22 07:46:19 UTC;945148442;http://www.2ados.es
Departamento de Turismo, Comercio y Consumo;Turismo, Merkataritza eta Kontsumo Saila;Donostia-San Sebastian, 1 - LAKUA;01010;Vitoria-Gasteiz;, ;2016-11-28 11:57:17 UTC;"";""
Departamento de Cultura y Política Lingüística;Kultura eta Hizkuntza Politika Saila;Donostia-San Sebastian, 1 - LAKUA;01010;Vitoria-Gasteiz;, ;2016-11-28 12:48:28 UTC;"";""
Consejo Vasco de Ciencia, Tecnología e Innovación;Zientzia, Teknologia eta Berrikuntzarako Euskal Kontseilua;"";"";;40.463667, -3.74922;2016-12-02 08:09:34 UTC;"";http://www.euskadinnova.net/eu/euskadiinnova-azala/index.aspx;funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2014001850
Green Proiekt;Sobera;María Díaz de Haro, 68 - Planta 2 - Módulo 4 - Oficina 10;48920;Portugalete;, ;2016-03-17 15:15:22 UTC;"";""
Diocesis de Donostia-San Sebastián - Obispado;Donostiako Elizbarrutia - Gotzaindegia;Zabaleta, 5;20002;Donostia-San Sebastián;43.3229666, -1.9764875;2013-05-10 09:12:29 UTC;943285000;http://www.elizagipuzkoa.org/;fax: 943286003
Testigos Cristianos de Jehová - Donostia-San Sebastián;Jehovaren Testigo Kristauak - Donostia-San Sebastian;Lazkano ibilbidea, 4 -  2.esk.;20009;Donostia-San Sebastián;43.2953855, -1.985706;2013-05-10 09:39:24 UTC;943468040;http://www.jw.org
Euskal Herria;Euskal Herria;Epalza, 8 -  4º;48007;Bilbao;43.2674112567, -2.92604670554;2011-09-21 21:06:47 UTC;944169430/ 902181471;http://www.euskalherria-aldizkaria.com;fax: 944166976
Biblioteca de la Diputación Foral de Bizkaia;Bizkaiko Foru Liburutegia;Diputación, 7;48008;Bilbao;43.2615430779, -2.93260412904;2014-02-28 09:33:52 UTC;944067702;http://www.bizkaia.net/foruliburutegia;fax: 944067084
Escuela de Hostelería de Leioa;Leioako Ostalaritza Eskola;Campus de Leioa;48940;Leioa;43.3344469265693, -2.98553708877935;2014-02-11 16:22:08 UTC;946012446;http://www.hostelerialeioa.net;facebook: http://Escuela de Hosteleria de Leioa;fax: 946013535
Prelatura del Opus Dei;Opus Deiko Prelatutza;Ibáñez de Bilbao, 3 -  6º  4 A;48001;Bilbao;43.2627183, -2.9260439;2013-05-10 09:37:41 UTC;656790987;http://www.euskara.opusdei.org
El País;El Pais;Epalza, 8 - 7º;48007;Bilbao;43.2673846510637, -2.9259878989409;2014-03-21 09:28:29 UTC;944132300;http://ccaa.elpais.com/ccaa/paisvasco.html;fax: 944132313
Divulc@t;Divulc@t;"";"";;43.2559183611, -2.9150204847;2014-08-19 11:21:37 UTC;"";http://e-ciencia.com
Servicio Territorial de Puertos de Gipuzkoa;;Muelle, 23;20003;Donostia-San Sebastián;43.3229848, -1.9906501;2013-05-08 11:32:35 UTC;943022970;""
Asociación de la Prensa Deportiva de Bizkaia;Bizkaiko Kirol Prentsa Elkartea;Egaña, 18 - 2º dcha.;48010;Bilbao;43.2585027276, -2.93913405497;2014-03-20 12:07:29 UTC;944100880;http://www.apdbizkaia.com;fax: 944100263
Servicio Territorial de Puertos de Bizkaia;Bizkaiko Portuen Lurralde Zerbitzua;Elcano, 3;48011;Bilbao;43.2640038397375, -2.93553046134885;2013-05-08 10:35:49 UTC;944031321/ 944031323;""
Consejo Evangélico del País Vasco;Euskal Herriko Kontseilu Ebangelikoa;Grupo San Ignacio, 9 G -  bajo;48200;Durango;43.2942355, -2.9926786;2014-03-28 09:28:41 UTC;944123429;http://cepv.org/
Pilar Maura Comunicación;Pilar Maura Comunicación;Ercilla, 16 -  1.a;48009;Bilbao;43.2642645601, -2.93251013621;2011-09-21 21:06:47 UTC;667730463;http://www.pilarmaura.com
Colegio Oficial de Doctores y Licenciados en Filosofía y Letras y en Ciencias de Gipuzkoa;Gipuzkoako Elkargo Ofiziala Filosofi-Letra eta Zientzietako Doktore eta Lizentziatuena;Eustasio Amilibia, 2 -  Behea;20011;Donostia-San Sebastián;43.3066849719138, -1.97527042095793;2014-04-01 16:44:42 UTC;943450015;"";fax: 943450015
Signo Asociados, S.L.;Signo Asociados, S.L.;Avda. de las Universidades, 2 - 2º A;48007;Bilbao;43.2658660779, -2.9322941456;2014-03-24 10:55:04 UTC;944230072;http://www.signoasociados.com
Sindicato Médico de Euskadi;Euskadiko Medikuen Sindikatua;Autonomía, 1 -  1º D;48012;Bilbao;43.2571425750831, -2.93516261503642;2011-10-31 13:50:39 UTC;944449867;http://www.sme.es;fax: 944449042
Parque  Científico y Tecnológico de Gipuzkoa ;Gipuzkoako Zientzia eta Teknologi Parkea;Paseo de Mikeletegi, 53. Edificio Principal;20009;Donostia-San Sebastián;43.2953855, -1.985706;2016-05-18 07:41:41 UTC;943011000;http://www.parke.eus;fax: 943011010
Comisión Vasca de Acceso a la Información Pública;Informazio Publikoaren Sarbiderako Euskal Batzordea;Donostia-San Sebastian, 1 - LAKUA;01010;Vitoria-Gasteiz;, ;2016-10-28 11:31:05 UTC;945018571;http://www.gardena.euskadi.eus/transparencia-general/-/derecho-de-acceso-a-la-informacion-publica/#4191 ;funciones: https://www.euskadi.eus/y22-bopv/es/bopv2/datos/2016/09/1603956a.shtml 
Federación de Coros de Bizkaia;Bizkaiko Abesbatzen Elkartea;Egaña, 18 - 1º Dcha.;48010;Bilbao;, ;2016-11-10 07:32:55 UTC;"";""
Elkarrekin Podemos;Elkarrekin Podemos;Becerro de Bengoa, s/n;01005;Vitoria-Gasteiz;, ;2016-11-17 10:00:21 UTC;"";http://www.legebiltzarra.eus
Dirección de Servicios;Zerbitzu Zuzendaritza;Donostia-San Sebastian, 1 - LAKUA;01010;Vitoria-Gasteiz;, ;2016-11-28 16:27:44 UTC;"";""
Viceconsejería de Administración y Servicios Generales;Administrazio eta Zerbitzu Orokorren Sailburuordetza;Donostia-San Sebastián, 1 - Lakua;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 17:10:13 UTC;"";""
Consejo de Cooperación de la Reserva de la Biosfera de Urdaibai;Urdaibaiko Biosfera Erreserbako Lankidetza Kontseilua;"";"";;40.463667, -3.74922;2013-10-23 08:17:32 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=19950302&a=199501030
IK4-TEKNIKER;;Iñaki Goenaga, 5;20600;Eibar;43.1947744694804, -2.44990945642006;2014-04-07 15:07:10 UTC;943206744;http://www.tekniker.es;fax: 943202757
Asociación Civil Eusko Etxea de Corpus Christi;;Suiza, s/n;3327;Corpus Christi;, ;2011-11-02 15:41:58 UTC;543752495057;""
CEIT-IK4 Sede Ibaeta;;Paseo de Manuel Lardizabal, 15;20018;Donostia / San Sebastián;, ;2014-04-07 15:07:43 UTC;943212800;http://www.ceit.es;fax: 943213076
Euskal Herrian Euskaraz (Bizkaia);Euskal Herrian Euskaraz (Bizkaia);"";"";;43.1516955116149, -2.60847191026896;2014-02-13 08:11:00 UTC;"";http://www.euskalherrianeuskaraz.org
Asociación de Productores Vascos (EPE-APV);Euskal Produktoreen Elkartea (EPE-APV);Avda. Zumalakarregi, 48;48006;Bilbao;43.2573282, -2.9124343;2011-09-21 21:06:47 UTC;944050259;http://www.epe-apv.com;fax: 94 - 405 02 57
Consulado de Pakistán;Pakistanen Kontsulatua;Alameda Recalde, 63 -  1º Dcha.;48012;Bilbao;43.2543346, -2.9413208;2011-09-21 21:06:47 UTC;944431619;"";fax: 94 422 03 97
Cámara del Libro de Euskadi;Euskadiko Liburu Ganbara;Avda. Lehendakari Agirre, 11 -  3º;48014;Bilbao;43.2727771, -2.9555358;2012-03-16 11:07:10 UTC;944764313;http://www.camaralibro.es;fax: 944761980
Colegio de Mediadores de Seguros de Bizkaia;Aseguru-Bitartekari Bizkaiko Elkargoa;María Díaz de Haro, 10 bis -  Enplta. Dpto. 26;48013;Bilbao;43.2499702, -2.9700567;2014-02-06 18:48:50 UTC;944424343;http://www.cmsbizkaia.com;fax: 944275810
Kultur Atelier, S.L.;Kultur Atelier, S.L.;Abaromendi, 42 - Behe solairua;20810;Orio;43.2836531067859, -2.1238350805998;2011-09-21 11:24:37 UTC;943218899;http://www.kulturatelier.eus
Eñutt Comunicación s.l.;Eñutt ;Ibaigane, 15 - 6ª;48930;Getxo;43.3259784715258, -3.00931569427883;2012-07-11 10:30:08 UTC;944804718;http://www.enutt.net
Consejo Vasco de la Abogacía;Legelarien Euskal Kontseilua;Rampas de Uribitarte, 3 - 3º;48001;Bilbao;43.2652527, -2.9294328;2014-04-01 11:39:41 UTC;944352488;http://www.abogaciavasca.net;fax: 944237883
Biblioteca de la Sociedad Bilbaina;Biblioteca de la Sociedad Bilbaina;Navarra, 1;48001;Bilbao;43.260595383, -2.92602287043;2014-02-28 09:35:33 UTC;94423140726;http://www.sociedadbilbaina.com;fax: 944230100
"Asociación Coral ""Lagun Onak""";;Piedras, 631;C1070AAM;Buenos Aires;-34.6154583, -58.3774905;2011-11-03 14:41:23 UTC;1149311088;http://www.lagunonak.com.ar
Colegio Oficial de Físicos. Delegación en Euskadi;Euskadiko Fisikako Elkargoaren Ordezkaritza;Alameda Mazarredo, 65 bis -  5. ezk.;48009;Bilbao;43.2666043, -2.9338273;2014-02-06 19:24:34 UTC;944237183;http://www.cofis.es/ http://94 423 71 83
Colegio Oficial de Fisioterapeutas del País Vasco;Euskadiko Fisioterapeuten Elkargo Ofiziala;Rafaela Ibarra, 8 -  1º Izda.;48014;Bilbao;43.2698106, -2.9500647;2014-02-06 19:25:23 UTC;944020155;http://www.cofpv.org;fax: 944020156
Colegio Oficial de Psicología de Bizkaia;Bizkaiko Psikologia Elkargo Ofiziala;Rodríguez Arias, 5 -  2º;48008;Bilbao;43.2614212, -2.9331513;2014-02-06 19:52:06 UTC;944795270944795271;http://www.copbizkaia.org;fax: 944795272
Colegio de Ingenieros Técnicos de Obras Públicas del País Vasco;Herrilanen Injeniero Teknikoen Euskadiko Elkartea;Alameda Rekalde, 76 -  Entpla. dcha.;48012;Bilbao;43.2543346, -2.9413208;2011-09-21 21:06:48 UTC;944166094;"";fax: 94 416 60 94
Colegio Oficial de Biólogos de Euskadi;Euskadiko Biologoen Elkargo Ofiziala;Licenciado Poza, 31 -  5º  Dpto. 1;48011;Bilbao;43.2640611, -2.9388228;2011-09-21 21:06:48 UTC;944276251;http://www.cobeuskadi.es;fax: 94 - 427 67 29
Ilustre Colegio Notarial de Bilbao;Bilboko Eskribauen Elkargo Txit Prestua;Henao, 8;48009;Bilbao;43.2642988762695, -2.93002614383381;2012-03-29 10:20:14 UTC;944240560;http://www.paisvasco.notariado.org;fax: 944232110
FECAPP - Federación Católica de Padres de Familia y Padres de Alumnos de Bizkaia;FECAPP - Federación Católica de Padres de Familia y Padres de Alumnos de Bizkaia;Colón de Larreategi, 13 -  4º centro;48001;Bilbao;43.2625732475, -2.92853260496;2014-02-11 18:19:26 UTC;944230571;http://www.fecapp.org;fax: 944237294
Euskal Herrian Euskaraz (Araba);Euskal Herrian Euskaraz (Araba);Cuchillería, 71 - Behea;01001;Vitoria-Gasteiz;42.8500083267874, -2.67154601269645;2014-02-13 08:15:07 UTC;"";http://www.euskalherrianeuskaraz.org
Nemonica Diseño y Comunicación, S.L.;Nemonica Diseño y Comunicación, S.L.;Alda. Mazarredo, 35 - 7º C-D;48009;Bilbao;43.2607677, -2.9306035;2014-03-21 18:00:13 UTC;944166654;http://www.arista.com
Sala de Exposiciones Rekalde;Rekalde Erakustaretoa;Alameda Rekalde, 30;48009;Bilbao;43.2644588737, -2.93456218788;2011-09-21 21:06:48 UTC;944068755944068532;http://www.salarekalde.net;fax: 94 406 87 54
Escuela de Administración Marítima;;Elcano, 3;48011;Bilbao;43.2640040366765, -2.93553069535813;2013-05-08 10:57:41 UTC;944031329;""
Asociación Vasca de Sociología y Ciencia Política / Euskal Soziologia eta Zientzia Politikoaren Elkartea;Euskal Soziologia eta Zientzia Politikoaren Elkartea;Hurtado de Amezaga, 27 -  9º Dpto. 9;48008;Bilbao;43.2574577035582, -2.93347448635251;2012-03-20 10:54:56 UTC;944100740;http://www.avsp.es
Euskal Herrian Euskaraz (Gipuzkoa);Euskal Herrian Euskaraz (Gipuzkoa);Martin Ugalde Kultur parkea - Gudarien etorbidea, 8;20140;Andoain;, ;2014-02-13 08:20:12 UTC;943303977;http://www.euskalherrianeuskaraz.org
AEK Bizkaia;AEK Bizkaia;Perro kalea, 1 -  4.a;48005;Bilbao;43.2224618, -2.8866771;2011-09-21 21:06:48 UTC;944159512;"";fax: 944166555
Colegio Oficial de Ingenieros de Minas del Norte de España;Colegio Oficial de Ingenieros de Minas del Norte de España;Hurtado de Amezaga, 20 -  6º;48008;Bilbao;43.2595953, -2.9302683;2011-09-21 21:06:48 UTC;944159192944152208;"";fax: 94 - 415 91 92 / 94 - 415 22 08
Asociación Cultural Denak Bat;;JuanRamírez de Velazco, 356 - Pico 3, Departamento A (BS AS);C1414AQH;Buenos Aires;, ;2011-11-04 10:43:39 UTC;1148566205;""
Consulado de Guinea Bissau;Ginea Bissauren Kontsula;General Concha 19 -1º Dcha.;48010;Bilbao;43.2591661, -2.9413208;2014-02-05 15:57:46 UTC;944105298;"";fax: 944334190
Euskal Herrian Euskaraz (Lapurdi);Euskal Herrian Euskaraz (Lapurdi);Larrea-amotz, 64;310;Senpere;, ;2014-02-13 08:17:39 UTC;"";http://www.euskalherrianeuskaraz.org
Euskal Herrian Euskaraz (Nafarroa Garia);Euskal Herrian Euskaraz (Nafarroa Garia);Kale Berria, 4 - 1;31001;Pamplona;, ;2014-02-13 08:26:08 UTC;648925894;http://www.euskalherrianeuskaraz.org
ELA - Euskal Langileen Alkartasuna;ELA - Euskal Langileen Alkartasuna;Barrainkua, 13;48009;Bilbao;43.2665328613059, -2.93453069438522;2014-02-23 16:00:21 UTC;944037700/ 944037760;http://www.ela-sindikatua.org;fax: 944037711
Behargintza Enkarterri - Agencia de Desarrollo Comarcal de las Encartaciones;;Enkarterri, 2;48840;Güeñes;, ;2014-02-23 18:51:38 UTC;946690877;http://www.behargintza-enkarterri.net;fax: 946690564
Asociación Cultural Laminiturri;;Paseo Francisco Sáenz Porres , 1-3;26009;Logroño;42.4808126, -2.4455818;2011-11-03 15:07:33 UTC;651813342;http://www.laminiturri.org
HETEL;HETEL;Andra Mari, 5 - 316 p.k.;48200;Durango;43.1681402324253, -2.63146012326437;2011-09-19 11:24:09 UTC;946292350;http://www.hetel.org
Elkar-Lan, S.COOP. - Sociedad para la Promoción de Cooperativas;Elkar-Lan, S.COOP. - Kooperatibak Sustatzeko Elkartea;San Vicente, 8 -  9. izda/ ezk.  Edif. Albia II;48001;Bilbao;43.26440567, -2.92786154698;2014-02-23 16:19:55 UTC;944703760;http://www.elkarlan.coop;fax: 944703761
Imagen y Difusión Publicitaria, S.L. (La Tienda de los Anuncios);Imagen y Difusión Publicitaria, S.L. (La Tienda de los Anuncios);Ercilla, 42 -  Lonja;48011;Bilbao;43.2611248813, -2.93932088462;2011-09-21 21:06:49 UTC;944240583;http://www.tiendaanuncios.com;fax: 94 424 25 34
Basquetour - Agencia Vasca de Turismo;Basquetour - Turismoaren Euskal Agentzia;Urquijo, 36 -  Alameda de, 5º. Edificio Plaza Bizkaia;48014;Bilbao;43.2701158, -2.9532267;2016-11-29 08:27:58 UTC;946077598;http://www.basquetour.net;fax: 946077595;funciones: http://www.euskadi.net/cgi-bin_k54/bopv_25?c=&TITULO=Desde%3A+01-enero-2009&CMD=VERLST&BASE=B03C&DOCS=1-20&SORT=-NORD&OPDEF=ADJ&CONF=%2Fconfig%2Fk54%2Fbopv_c.cnf&SEPARADOR=&%40FEBO-GE=20090101&OP1=Y&%40FEBO-LE=99991231&OP2=Y&*=&OP3=Y&TITU=514%2F2009&OP4=Y&MATE=&hMATE=&hOPCIONES1=&OP5=Y&DEPA=&hDEPA=&hOPCIONES0=&OP5=Y&OP6=Y&SECC=&OP7=Y&RANG=Decreto&OP8=Y&NUMD=&OP9=Y&%40FEDI-GE=&OP10=Y&%40FEDI-LE=
ALOKABIDE, S.A. Sociedad del alquiler;ALOKABIDE, S.A. Alokairu Sozietatea;Portal de Gamarra, 1 - A, 2ª planta;01013;Vitoria-Gasteiz;42.8603183015693, -2.66259675500198;2016-11-29 08:31:36 UTC;945000565;http://www.alokabide.euskadi.eus;fax: 945068441
Ayuntamiento de Ermua - Desarrollo Local;;Avda. Bizkaia, 15 (Edificio Torreta-Etxea);48260;Ermua;, ;2014-02-23 19:01:23 UTC;943179151;http://www.ermua.es;fax: 943179388
SN Comunicación, Protocolo y Organización de Eventos;SN Comunicación, Protocolo y Organización de Eventos;Juan de Ajuriaguerra, 19 -  1º D;48009;Bilbao;43.2660617, -2.9347546;2014-03-24 11:00:26 UTC;630562178/ 944230259;http://sncomunicacion.com
Rúbrica Creación Publicitaria;Rúbrica Creación Publicitaria;Lutxana, 4 -  6.a;48008;Bilbao;43.2597104612, -2.93073105999;2011-09-21 21:06:49 UTC;944155291;http://www.proyeccion.tv;fax: 94 - 479 08 83
Lanbide Ekimenak Iniciativas Profesionales Gernika-Lumo;Lanbide Ekimenak Iniciativas Profesionales Gernika-Lumo;Alhóndiga, 6;48300;Gernika-Lumo;, ;2014-02-23 19:10:28 UTC;946255758;http://www.lanbide-ekimenak.com/;fax: 946255758
TeleBilbao;TeleBilbao;Padre Larramendi, 3 -  1º ;48012;Bilbao;43.2539843306347, -2.94354726329396;2012-05-25 11:09:16 UTC;944105254/ 944210031/ 944210077;http://www.telebilbao.es;fax: 944104977
PdC Pool de  Comunicación, S.L.;PdC Pool de Comunicación, S.L.;Calixto Díez, 7 -  2º Dpto 16;48012;Bilbao;43.2543346, -2.9413208;2014-03-21 18:35:56 UTC;944432466;http://www.pooldecomunicacion.es
